building_type,area_sqm,floors,location,foundation_type,roof_type,has_basement,has_parking,labor_rate,total_cost
Residential,4597,4,Urban,Concrete,Flat,1,1,10700,50000000
Residential,10591,1,Rural,Slab,Pitched,1,0,5900,19485476
Residential,2116,18,Urban,Pile,Flat,0,1,13400,50000000
Industrial,6363,7,Suburban,Concrete,Dome,0,1,4100,50000000
Residential,2038,15,Suburban,Concrete,Dome,1,1,9700,50000000
Residential,1126,8,Rural,Concrete,Pitched,1,1,10400,23420470
Residential,14108,8,Suburban,Concrete,Pitched,0,1,12900,50000000
Commercial,3661,1,Urban,Pile,Dome,0,1,10800,12308617
Commercial,10775,2,Suburban,Slab,Dome,0,0,7600,50000000
Residential,14749,11,Suburban,Pile,Pitched,1,1,8700,50000000
Commercial,7229,9,Rural,Concrete,Dome,0,0,14000,50000000
Residential,4795,6,Urban,Slab,Dome,0,0,6100,50000000
Commercial,6628,9,Urban,Pile,Flat,0,1,6200,50000000
Industrial,1604,1,Rural,Pile,Dome,0,0,7700,3953746
Residential,6595,3,Urban,Slab,Flat,0,0,13600,50000000
Commercial,7234,3,Suburban,Slab,Dome,0,0,7100,50000000
Commercial,6750,2,Urban,Concrete,Dome,0,1,6100,43889644
Industrial,13985,17,Suburban,Pile,Pitched,1,0,14400,50000000
Commercial,11042,3,Suburban,Pile,Flat,0,1,14200,50000000
Residential,751,12,Rural,Pile,Dome,0,0,4000,16254372
Commercial,12292,1,Rural,Slab,Dome,0,1,3400,34836399
Commercial,14185,12,Suburban,Pile,Flat,0,1,11900,50000000
Residential,14750,17,Rural,Pile,Pitched,0,0,8300,50000000
Industrial,7774,5,Urban,Pile,Dome,0,0,5200,50000000
Industrial,13475,3,Urban,Concrete,Dome,0,1,4000,50000000
Commercial,12611,5,Suburban,Concrete,Dome,0,1,12300,50000000
Commercial,10375,3,Rural,Pile,Dome,1,1,14400,50000000
Residential,1006,3,Rural,Concrete,Pitched,1,1,7900,5961753
Residential,13563,10,Rural,Concrete,Dome,0,1,3800,50000000
Residential,8889,2,Suburban,Pile,Pitched,1,1,5400,35560431
Commercial,5755,20,Suburban,Concrete,Pitched,0,0,7200,50000000
Industrial,13453,8,Urban,Concrete,Flat,0,0,14200,50000000
Residential,2072,3,Rural,Slab,Pitched,0,1,11200,14958990
Commercial,12266,19,Suburban,Concrete,Pitched,1,0,7000,50000000
Industrial,316,8,Suburban,Pile,Flat,0,1,4300,4679841
Commercial,13512,9,Suburban,Concrete,Dome,0,1,5600,50000000
Residential,2361,13,Urban,Concrete,Flat,1,1,5600,50000000
Industrial,1478,17,Urban,Concrete,Flat,0,0,12300,50000000
Industrial,14923,16,Urban,Pile,Pitched,1,1,13000,50000000
Commercial,11318,3,Rural,Concrete,Flat,0,1,6300,50000000
Residential,14060,18,Urban,Slab,Dome,0,0,5500,50000000
Commercial,8392,14,Suburban,Concrete,Dome,0,1,13400,50000000
Industrial,12153,8,Rural,Pile,Dome,1,0,12500,50000000
Commercial,2215,14,Rural,Pile,Dome,0,1,3200,50000000
Residential,3660,16,Rural,Slab,Pitched,1,1,6000,50000000
Industrial,9388,4,Suburban,Slab,Pitched,1,0,5900,50000000
Industrial,11194,5,Suburban,Slab,Dome,0,0,4400,50000000
Residential,6403,6,Rural,Pile,Pitched,1,1,12500,50000000
Industrial,7521,20,Urban,Slab,Dome,0,1,5300,50000000
Industrial,14068,7,Urban,Slab,Dome,0,0,10100,50000000
Industrial,4867,12,Suburban,Pile,Pitched,0,1,14200,50000000
Industrial,8597,11,Suburban,Concrete,Dome,0,1,10700,50000000
Commercial,5429,8,Urban,Pile,Pitched,1,0,10000,50000000
Industrial,3046,16,Rural,Slab,Pitched,1,0,13000,50000000
Commercial,7381,9,Suburban,Concrete,Dome,0,1,8300,50000000
Residential,13827,20,Urban,Pile,Pitched,0,1,14700,50000000
Industrial,6106,4,Suburban,Concrete,Dome,0,1,9100,50000000
Residential,1436,7,Rural,Slab,Dome,1,1,5200,23470918
Residential,6798,15,Urban,Slab,Pitched,1,1,3200,50000000
Residential,6457,5,Rural,Pile,Flat,0,0,14000,50000000
Industrial,11863,9,Urban,Concrete,Flat,1,1,6400,50000000
Commercial,10463,7,Urban,Pile,Pitched,0,1,8300,50000000
Industrial,13392,1,Urban,Slab,Flat,0,0,7600,37805888
Residential,2538,8,Urban,Slab,Flat,0,1,3900,35307828
Residential,11389,14,Urban,Concrete,Dome,1,1,10800,50000000
Residential,3852,15,Urban,Slab,Flat,0,1,12100,50000000
Residential,9409,8,Rural,Concrete,Flat,0,0,6900,50000000
Residential,9706,12,Suburban,Pile,Dome,1,0,7900,50000000
Industrial,994,18,Rural,Pile,Flat,1,1,7400,39358292
Industrial,12307,6,Rural,Pile,Pitched,0,1,12600,50000000
Residential,11940,1,Rural,Slab,Dome,0,0,7500,22478015
Residential,4797,13,Urban,Concrete,Flat,0,1,13000,50000000
Residential,5553,17,Rural,Pile,Flat,0,1,4800,50000000
Residential,7968,19,Urban,Concrete,Flat,0,1,14000,50000000
Commercial,7901,1,Rural,Concrete,Dome,0,0,10900,21137023
Industrial,7973,15,Rural,Concrete,Flat,1,0,7100,50000000
Residential,9316,10,Rural,Concrete,Pitched,1,0,12000,50000000
Residential,1827,20,Rural,Pile,Flat,1,1,14800,50000000
Commercial,6532,14,Rural,Pile,Dome,1,0,3900,50000000
Commercial,13975,1,Rural,Pile,Pitched,0,1,13700,50000000
Commercial,9090,19,Urban,Pile,Flat,0,0,8400,50000000
Commercial,10021,16,Rural,Pile,Pitched,0,1,4000,50000000
Residential,8888,10,Rural,Slab,Pitched,0,1,8800,50000000
Industrial,8864,12,Suburban,Slab,Flat,0,0,8100,50000000
Industrial,9112,12,Urban,Slab,Flat,1,1,11700,50000000
Residential,5303,18,Urban,Slab,Flat,1,1,8500,50000000
Residential,10270,13,Suburban,Pile,Flat,1,0,7600,50000000
Residential,6055,16,Suburban,Concrete,Dome,0,0,8000,50000000
Residential,8519,9,Rural,Pile,Dome,1,0,14800,50000000
Residential,7057,15,Rural,Pile,Pitched,0,1,4100,50000000
Industrial,1171,19,Rural,Slab,Dome,0,1,14300,50000000
Residential,7906,3,Suburban,Pile,Pitched,0,1,4500,35715652
Residential,6536,14,Rural,Pile,Pitched,1,1,11400,50000000
Residential,5218,19,Rural,Concrete,Pitched,0,0,10900,50000000
Industrial,9029,5,Urban,Pile,Flat,0,1,15000,50000000
Industrial,4889,4,Urban,Concrete,Dome,0,1,11200,50000000
Commercial,12756,2,Urban,Slab,Dome,1,1,4900,50000000
Residential,14103,4,Suburban,Slab,Flat,1,1,14700,50000000
Industrial,728,20,Suburban,Slab,Dome,0,0,6200,29242437
Residential,1903,4,Suburban,Slab,Dome,0,1,5800,12808890
Residential,13461,1,Suburban,Pile,Dome,0,1,9300,46288628
Residential,14380,2,Rural,Pile,Dome,0,1,14400,50000000
Residential,4076,18,Suburban,Pile,Flat,0,0,5300,50000000
Industrial,4065,4,Rural,Concrete,Flat,0,0,8200,41447610
Industrial,12528,11,Urban,Slab,Flat,1,0,3600,50000000
Industrial,8735,4,Suburban,Concrete,Pitched,0,0,9500,50000000
Industrial,11968,9,Suburban,Slab,Flat,0,0,6300,50000000
Industrial,13190,6,Suburban,Pile,Dome,1,0,4600,50000000
Commercial,7080,5,Suburban,Slab,Pitched,1,0,10900,50000000
Commercial,5269,10,Suburban,Slab,Flat,0,0,3300,50000000
Residential,14615,11,Urban,Concrete,Flat,1,0,5900,50000000
Industrial,9506,4,Rural,Concrete,Dome,0,1,4200,50000000
Industrial,5774,3,Rural,Slab,Dome,0,1,9300,48744760
Industrial,8235,1,Suburban,Concrete,Flat,0,1,6600,27595457
Commercial,13025,18,Suburban,Concrete,Dome,1,1,8400,50000000
Industrial,8157,2,Suburban,Pile,Pitched,0,0,4600,35361751
Residential,3988,10,Suburban,Slab,Flat,0,1,5100,50000000
Industrial,13462,10,Suburban,Pile,Pitched,0,1,3300,50000000
Industrial,6871,14,Suburban,Concrete,Pitched,0,0,9900,50000000
Commercial,4586,15,Urban,Concrete,Pitched,1,0,14900,50000000
Commercial,4750,3,Urban,Concrete,Pitched,1,1,10600,50000000
Commercial,5408,18,Suburban,Concrete,Pitched,0,1,4300,50000000
Residential,4790,11,Rural,Pile,Flat,0,0,3900,50000000
Industrial,10488,18,Rural,Pile,Dome,0,0,14700,50000000
Industrial,13848,3,Suburban,Concrete,Flat,0,1,13100,50000000
Industrial,1818,10,Rural,Concrete,Dome,0,1,3400,44175117
Residential,7347,3,Rural,Concrete,Dome,0,0,6700,50000000
Industrial,10518,9,Rural,Concrete,Flat,0,1,6500,50000000
Industrial,7046,8,Suburban,Concrete,Flat,0,0,8100,50000000
Industrial,2518,2,Rural,Slab,Dome,1,1,10900,19654766
Industrial,2213,8,Suburban,Slab,Flat,0,1,10800,50000000
Residential,5805,7,Urban,Concrete,Flat,0,1,13700,50000000
Industrial,10013,4,Urban,Slab,Dome,1,0,6800,50000000
Commercial,8682,13,Suburban,Concrete,Flat,1,1,4500,50000000
Commercial,13339,4,Suburban,Pile,Flat,1,1,6700,50000000
Residential,5556,2,Suburban,Concrete,Flat,0,1,8400,26499255
Commercial,8370,5,Urban,Pile,Flat,1,1,4800,50000000
Residential,13414,5,Urban,Concrete,Dome,0,0,4200,50000000
Residential,8079,9,Urban,Pile,Flat,0,1,7900,50000000
Residential,8274,3,Suburban,Concrete,Dome,1,0,13000,50000000
Residential,5569,10,Suburban,Concrete,Flat,1,1,9600,50000000
Commercial,6388,14,Suburban,Concrete,Flat,0,1,5800,50000000
Residential,9951,9,Suburban,Slab,Dome,0,0,4300,50000000
Commercial,7505,12,Rural,Slab,Pitched,0,0,3600,50000000
Industrial,7022,18,Suburban,Slab,Dome,0,1,10400,50000000
Residential,491,14,Urban,Pile,Pitched,0,0,10800,17349810
Commercial,3320,15,Rural,Concrete,Flat,0,0,14300,50000000
Commercial,6642,15,Rural,Slab,Dome,0,0,13600,50000000
Residential,6168,6,Suburban,Concrete,Pitched,1,0,13700,50000000
Industrial,13498,9,Suburban,Slab,Flat,1,1,7300,50000000
Commercial,10558,18,Rural,Concrete,Pitched,0,1,9300,50000000
Residential,1768,15,Rural,Pile,Dome,1,0,11900,50000000
Industrial,612,3,Suburban,Slab,Dome,0,1,10200,6670709
Commercial,3051,8,Suburban,Pile,Pitched,0,0,3100,50000000
Industrial,2496,10,Urban,Slab,Flat,0,1,6400,50000000
Industrial,3426,12,Suburban,Concrete,Pitched,1,1,12200,50000000
Residential,10967,4,Urban,Pile,Flat,0,1,9700,50000000
Industrial,14817,15,Rural,Slab,Pitched,1,1,10700,50000000
Commercial,3486,7,Suburban,Slab,Flat,0,1,11300,50000000
Industrial,809,11,Suburban,Slab,Pitched,0,1,9600,29239191
Industrial,3082,12,Suburban,Pile,Pitched,1,1,12600,50000000
Industrial,8368,7,Suburban,Concrete,Dome,0,1,11900,50000000
Commercial,11037,19,Urban,Concrete,Dome,1,1,12400,50000000
Commercial,4856,17,Urban,Pile,Flat,0,1,9100,50000000
Residential,12022,4,Rural,Pile,Dome,0,1,5300,50000000
Commercial,5845,20,Rural,Pile,Flat,1,0,6300,50000000
Commercial,4084,10,Urban,Slab,Dome,1,1,3300,50000000
Residential,10659,10,Urban,Slab,Pitched,0,1,3300,50000000
Industrial,2675,12,Suburban,Slab,Flat,1,1,7800,50000000
Commercial,8294,17,Suburban,Pile,Pitched,1,0,11100,50000000
Commercial,9492,8,Urban,Slab,Flat,1,0,10200,50000000
Residential,2147,19,Urban,Slab,Flat,1,1,6200,50000000
Commercial,2679,4,Suburban,Slab,Flat,0,0,8700,32199702
Residential,10105,20,Suburban,Slab,Dome,0,1,12300,50000000
Industrial,5853,3,Rural,Pile,Flat,0,1,10800,49510602
Residential,9950,1,Rural,Pile,Flat,1,0,12600,26586372
Industrial,14107,9,Rural,Pile,Pitched,1,0,13400,50000000
Residential,12729,11,Rural,Concrete,Pitched,0,1,6200,50000000
Residential,1933,9,Urban,Pile,Pitched,0,1,4600,30466299
Industrial,2084,12,Urban,Pile,Flat,0,1,8600,50000000
Residential,9649,6,Urban,Concrete,Pitched,1,0,14400,50000000
Commercial,13407,6,Rural,Slab,Flat,0,1,5500,50000000
Industrial,4240,3,Rural,Concrete,Pitched,1,0,7600,44476015
Residential,13312,14,Rural,Pile,Dome,1,0,5500,50000000
Industrial,5111,14,Suburban,Slab,Flat,1,1,5900,50000000
Residential,1515,16,Suburban,Slab,Flat,1,1,3700,41990219
Residential,5857,9,Suburban,Pile,Pitched,1,1,8100,50000000
Commercial,703,2,Urban,Pile,Dome,0,1,11800,6483033
Industrial,8660,2,Suburban,Pile,Pitched,0,1,12400,50000000
Industrial,8980,17,Suburban,Slab,Pitched,0,1,10900,50000000
Industrial,9341,15,Suburban,Concrete,Pitched,1,1,4500,50000000
Commercial,587,7,Rural,Slab,Flat,0,1,13200,10479531
Commercial,3572,11,Urban,Pile,Pitched,0,1,7600,50000000
Commercial,10622,6,Suburban,Pile,Flat,0,1,3300,50000000
Commercial,2508,11,Suburban,Slab,Dome,0,1,3100,50000000
Industrial,5219,8,Suburban,Slab,Flat,1,1,12500,50000000
Commercial,12672,14,Suburban,Slab,Flat,1,1,11000,50000000
Industrial,12081,8,Rural,Slab,Pitched,1,1,11500,50000000
Residential,14314,18,Urban,Slab,Flat,0,1,3000,50000000
Industrial,8266,7,Suburban,Concrete,Pitched,0,1,7900,50000000
Residential,9229,15,Urban,Pile,Pitched,1,1,4800,50000000
Residential,13214,15,Rural,Concrete,Pitched,1,0,11000,50000000
Commercial,14728,17,Rural,Pile,Flat,0,0,6200,50000000
Residential,4048,4,Suburban,Pile,Dome,1,1,4300,43092027
Industrial,731,9,Rural,Pile,Pitched,1,0,11900,18979445
Commercial,5118,20,Suburban,Concrete,Dome,0,0,4000,50000000
Commercial,6955,11,Rural,Slab,Dome,0,1,11900,50000000
Residential,11237,13,Urban,Slab,Dome,1,1,12900,50000000
Industrial,6622,1,Rural,Pile,Flat,0,0,6700,10547763
Industrial,2771,14,Suburban,Pile,Dome,1,0,12500,50000000
Industrial,14151,16,Urban,Slab,Flat,0,1,7300,50000000
Industrial,4471,11,Rural,Slab,Dome,0,1,12000,50000000
Commercial,8312,7,Rural,Slab,Pitched,1,0,14400,50000000
Commercial,7657,8,Rural,Slab,Flat,1,0,6400,50000000
Residential,9341,19,Suburban,Slab,Dome,0,1,5400,50000000
Residential,899,5,Suburban,Concrete,Flat,1,0,7500,7939629
Commercial,7730,16,Rural,Slab,Flat,0,0,11400,50000000
Industrial,11176,12,Suburban,Slab,Pitched,1,0,5000,50000000
Commercial,13698,6,Suburban,Concrete,Flat,1,1,3000,50000000
Residential,5087,16,Suburban,Pile,Flat,0,1,15000,50000000
Residential,12668,9,Urban,Pile,Pitched,1,1,10900,50000000
Commercial,3840,14,Rural,Slab,Pitched,1,0,12700,50000000
Commercial,12802,8,Urban,Slab,Flat,1,1,4400,50000000
Residential,6868,14,Urban,Concrete,Pitched,1,1,5200,50000000
Residential,14805,15,Suburban,Slab,Flat,0,1,10500,50000000
Residential,4204,9,Rural,Concrete,Pitched,0,1,14200,50000000
Residential,1956,17,Rural,Concrete,Flat,0,1,13200,50000000
Industrial,3867,19,Suburban,Concrete,Dome,1,1,8600,50000000
Industrial,7594,15,Urban,Concrete,Dome,1,1,5600,50000000
Residential,479,15,Suburban,Concrete,Dome,0,1,10000,21162575
Industrial,6785,20,Urban,Pile,Pitched,0,1,5200,50000000
Residential,10127,7,Urban,Concrete,Dome,1,1,5600,50000000
Commercial,9965,15,Urban,Pile,Flat,1,1,7600,50000000
Industrial,5355,20,Rural,Slab,Pitched,0,1,13200,50000000
Industrial,11572,14,Urban,Slab,Flat,1,0,6600,50000000
Residential,5915,2,Suburban,Slab,Dome,1,0,13500,40929600
Industrial,4723,15,Suburban,Concrete,Pitched,0,0,8900,50000000
Residential,10899,10,Rural,Pile,Flat,1,0,11700,50000000
Commercial,6223,4,Urban,Concrete,Pitched,0,1,8300,50000000
Commercial,9915,17,Suburban,Concrete,Flat,0,0,3400,50000000
Commercial,5890,14,Urban,Pile,Flat,0,1,6900,50000000
Residential,13486,12,Suburban,Concrete,Flat,0,1,8700,50000000
Residential,329,4,Suburban,Concrete,Flat,0,0,5900,3447097
Commercial,4421,1,Rural,Slab,Flat,0,1,9400,13862629
Residential,14130,2,Suburban,Pile,Pitched,0,1,10600,50000000
Residential,7532,2,Urban,Slab,Flat,0,1,4800,35561204
Industrial,6708,12,Rural,Slab,Flat,0,0,7100,50000000
Commercial,3008,20,Urban,Pile,Dome,1,1,14600,50000000
Industrial,11422,5,Rural,Pile,Pitched,0,1,7200,50000000
Residential,10913,9,Suburban,Slab,Flat,1,1,8400,50000000
Residential,3784,8,Rural,Concrete,Flat,0,0,3000,50000000
Industrial,5188,7,Urban,Slab,Pitched,0,1,12800,50000000
Industrial,9159,15,Suburban,Slab,Dome,1,1,5200,50000000
Residential,4070,19,Suburban,Pile,Dome,0,0,9700,50000000
Commercial,7307,13,Rural,Concrete,Flat,1,1,5100,50000000
Commercial,14323,13,Rural,Pile,Dome,1,1,11200,50000000
Industrial,8583,1,Suburban,Concrete,Dome,1,1,6400,26956826
Residential,7244,19,Urban,Slab,Dome,0,1,5000,50000000
Commercial,8016,5,Urban,Slab,Dome,0,1,6000,50000000
Residential,8157,19,Suburban,Concrete,Pitched,1,1,13100,50000000
Industrial,12236,12,Rural,Slab,Dome,1,1,14400,50000000
Commercial,11246,8,Urban,Pile,Dome,0,0,14700,50000000
Residential,6218,5,Suburban,Pile,Flat,0,1,13000,50000000
Industrial,9602,2,Suburban,Pile,Dome,0,0,14000,50000000
Commercial,8799,5,Urban,Concrete,Dome,0,1,10400,50000000
Residential,13020,13,Urban,Slab,Flat,1,0,7300,50000000
Residential,12633,13,Urban,Slab,Pitched,0,1,14100,50000000
Industrial,5326,2,Suburban,Slab,Pitched,0,0,3500,21985564
Industrial,6532,5,Rural,Slab,Dome,1,1,8400,50000000
Commercial,5890,5,Urban,Slab,Pitched,0,0,12700,50000000
Commercial,5074,7,Urban,Concrete,Flat,0,0,12000,50000000
Residential,652,9,Suburban,Slab,Pitched,1,1,11300,18270395
Residential,9510,13,Rural,Pile,Flat,1,1,7100,50000000
Industrial,2518,20,Rural,Pile,Dome,0,1,6200,50000000
Residential,9221,17,Suburban,Slab,Pitched,0,1,7400,50000000
Residential,9181,14,Suburban,Pile,Dome,0,1,13400,50000000
Industrial,9119,11,Rural,Slab,Flat,0,1,5100,50000000
Residential,12403,15,Rural,Concrete,Flat,1,1,13700,50000000
Commercial,9477,15,Suburban,Pile,Dome,0,1,6600,50000000
Residential,694,11,Urban,Slab,Dome,1,1,5700,16153420
Commercial,3695,20,Urban,Pile,Dome,1,1,11100,50000000
Residential,6662,9,Urban,Pile,Flat,1,1,8200,50000000
Industrial,7304,6,Rural,Concrete,Dome,1,0,9300,50000000
Commercial,4221,18,Urban,Slab,Pitched,0,1,14000,50000000
Industrial,5833,19,Suburban,Slab,Pitched,1,1,8200,50000000
Commercial,11480,13,Rural,Slab,Flat,0,1,14100,50000000
Commercial,4720,9,Urban,Slab,Pitched,1,1,12500,50000000
Commercial,3124,11,Suburban,Concrete,Flat,0,0,11300,50000000
Industrial,2399,9,Suburban,Pile,Flat,0,1,14700,50000000
Residential,12253,11,Urban,Concrete,Flat,0,0,4500,50000000
Industrial,2266,20,Rural,Concrete,Pitched,0,1,13500,50000000
Commercial,1811,10,Suburban,Pile,Pitched,0,1,4600,41664824
Residential,11707,17,Urban,Pile,Dome,0,1,7900,50000000
Industrial,10893,11,Urban,Pile,Pitched,0,0,6800,50000000
Residential,5810,5,Suburban,Pile,Pitched,1,1,3700,50000000
Industrial,4390,20,Suburban,Pile,Flat,1,1,11100,50000000
Commercial,9951,17,Suburban,Slab,Flat,0,1,10000,50000000
Industrial,2023,8,Urban,Pile,Pitched,0,1,10300,39891980
Residential,6258,10,Rural,Slab,Pitched,1,1,9500,50000000
Industrial,11510,17,Rural,Pile,Pitched,0,1,11600,50000000
Industrial,7265,14,Rural,Concrete,Flat,0,1,15000,50000000
Residential,2364,7,Rural,Concrete,Flat,0,1,10300,29513206
Commercial,4494,15,Rural,Slab,Flat,0,0,12200,50000000
Industrial,10272,10,Suburban,Slab,Flat,0,1,8400,50000000
Industrial,3540,20,Rural,Pile,Dome,0,1,8500,50000000
Residential,3315,6,Suburban,Pile,Pitched,1,1,14500,50000000
Residential,13506,6,Rural,Pile,Flat,1,1,10100,50000000
Commercial,14492,17,Suburban,Concrete,Flat,0,1,12700,50000000
Residential,8416,2,Rural,Concrete,Flat,1,1,14900,50000000
Industrial,1501,3,Urban,Pile,Flat,0,1,6500,11676212
Industrial,10085,3,Rural,Pile,Flat,0,1,8700,50000000
Commercial,6764,6,Rural,Slab,Pitched,0,1,12100,50000000
Commercial,9727,17,Suburban,Concrete,Flat,0,0,4800,50000000
Industrial,9743,19,Rural,Slab,Flat,1,1,12700,50000000
Residential,3011,15,Rural,Concrete,Pitched,1,1,8300,50000000
Industrial,9160,13,Urban,Concrete,Dome,0,1,9000,50000000
Commercial,10956,15,Urban,Slab,Flat,1,0,15000,50000000
Industrial,4261,13,Rural,Slab,Dome,0,1,10500,50000000
Residential,5728,1,Suburban,Concrete,Dome,1,1,11700,21610626
Commercial,4950,3,Suburban,Slab,Dome,0,1,14200,50000000
Industrial,12490,16,Rural,Concrete,Pitched,0,1,8900,50000000
Residential,4977,13,Rural,Concrete,Dome,0,1,10400,50000000
Industrial,1551,14,Urban,Slab,Flat,1,1,4300,45530021
Industrial,11655,11,Suburban,Slab,Dome,1,1,7900,50000000
Commercial,6518,12,Urban,Concrete,Flat,0,1,10400,50000000
Commercial,10910,17,Urban,Concrete,Flat,0,1,4700,50000000
Industrial,4106,7,Rural,Pile,Dome,1,1,3700,50000000
Residential,6345,18,Rural,Pile,Flat,0,1,13400,50000000
Industrial,14832,18,Suburban,Slab,Flat,1,1,13800,50000000
Commercial,6672,14,Urban,Concrete,Flat,1,1,13500,50000000
Residential,14501,18,Rural,Slab,Flat,0,1,12700,50000000
Industrial,8695,8,Suburban,Concrete,Pitched,1,1,7500,50000000
Industrial,9244,9,Rural,Pile,Pitched,0,1,14000,50000000
Commercial,12622,2,Urban,Concrete,Flat,1,1,14900,50000000
Commercial,4427,15,Rural,Slab,Pitched,0,0,3100,50000000
Residential,10450,9,Suburban,Slab,Dome,1,1,7700,50000000
Industrial,641,13,Rural,Pile,Flat,1,0,13800,17524633
Commercial,9683,13,Rural,Slab,Dome,1,1,5600,50000000
Industrial,9033,10,Urban,Concrete,Pitched,1,1,9800,50000000
Residential,13265,13,Urban,Concrete,Dome,0,1,5000,50000000
Industrial,6232,20,Urban,Pile,Dome,0,1,11400,50000000
Commercial,14516,5,Urban,Pile,Flat,0,0,4500,50000000
Commercial,7533,18,Urban,Concrete,Pitched,0,1,8600,50000000
Commercial,13976,4,Urban,Concrete,Dome,0,1,6900,50000000
Residential,11743,15,Suburban,Slab,Pitched,0,1,7600,50000000
Industrial,14834,7,Urban,Slab,Pitched,1,0,12800,50000000
Commercial,14109,14,Urban,Pile,Dome,0,1,14500,50000000
Residential,10686,10,Suburban,Pile,Flat,0,0,8200,50000000
Residential,4818,14,Urban,Concrete,Flat,0,1,14200,50000000
Commercial,10831,11,Suburban,Concrete,Dome,1,1,4500,50000000
Commercial,7311,17,Urban,Slab,Flat,1,1,9600,50000000
Residential,5736,5,Suburban,Pile,Pitched,0,1,9000,50000000
Residential,6746,10,Rural,Slab,Flat,0,1,12800,50000000
Commercial,13051,13,Rural,Concrete,Pitched,0,0,9500,50000000
Commercial,776,6,Urban,Pile,Pitched,0,1,4400,12755869
Commercial,7793,3,Rural,Pile,Flat,1,1,7600,50000000
Commercial,8910,8,Suburban,Concrete,Dome,0,1,12100,50000000
Residential,6384,1,Rural,Pile,Dome,0,1,3200,11380947
Industrial,2779,5,Urban,Pile,Pitched,1,1,11300,34004782
Industrial,7307,1,Urban,Concrete,Pitched,0,0,4200,20184239
Residential,6323,9,Suburban,Concrete,Flat,0,1,13100,50000000
Residential,5339,5,Suburban,Slab,Flat,1,1,4300,50000000
Commercial,13553,15,Suburban,Concrete,Dome,1,1,13500,50000000
Commercial,14578,7,Rural,Slab,Pitched,0,1,11100,50000000
Residential,13041,2,Urban,Slab,Flat,0,1,6900,50000000
Residential,2184,16,Suburban,Slab,Dome,0,0,12800,50000000
Residential,11818,15,Urban,Slab,Pitched,0,0,9000,50000000
Residential,10045,9,Suburban,Slab,Dome,0,1,7700,50000000
Residential,13510,11,Suburban,Slab,Flat,0,1,4000,50000000
Residential,14723,12,Urban,Pile,Flat,1,1,9900,50000000
Residential,10295,14,Urban,Pile,Dome,0,1,11900,50000000
Commercial,14198,7,Urban,Slab,Flat,0,1,9100,50000000
Residential,3924,15,Suburban,Slab,Dome,0,0,9200,50000000
Industrial,4149,10,Suburban,Pile,Flat,1,1,5000,50000000
Industrial,14169,14,Rural,Slab,Pitched,1,1,9800,50000000
Industrial,4849,7,Suburban,Slab,Dome,0,1,8500,50000000
Residential,5176,5,Suburban,Concrete,Pitched,0,1,12200,50000000
Commercial,4007,7,Rural,Pile,Pitched,0,0,14900,50000000
Residential,11873,15,Urban,Pile,Pitched,0,0,13600,50000000
Residential,6866,5,Rural,Pile,Pitched,0,1,8200,50000000
Industrial,1724,4,Urban,Pile,Dome,0,1,4400,17213034
Industrial,5629,11,Suburban,Slab,Flat,1,1,3500,50000000
Commercial,570,9,Urban,Pile,Pitched,0,1,14100,16890506
Commercial,1470,10,Urban,Slab,Dome,0,1,14100,50000000
Commercial,8500,7,Urban,Slab,Flat,0,1,3100,50000000
Commercial,10846,1,Suburban,Slab,Dome,0,0,12800,43589965
Commercial,3813,8,Suburban,Slab,Pitched,1,1,6300,50000000
Commercial,14869,12,Urban,Pile,Dome,0,1,8500,50000000
Commercial,7468,18,Rural,Concrete,Dome,0,0,7500,50000000
Industrial,2581,3,Urban,Slab,Flat,0,1,9400,18426232
Industrial,1267,10,Suburban,Concrete,Dome,1,0,13400,40408348
Industrial,13538,15,Rural,Pile,Pitched,1,1,13300,50000000
Industrial,5572,18,Urban,Slab,Dome,1,1,7300,50000000
Industrial,11076,8,Rural,Concrete,Pitched,1,0,3500,50000000
Residential,1856,6,Suburban,Concrete,Flat,0,1,6700,22976292
Commercial,10540,19,Suburban,Pile,Dome,0,1,15000,50000000
Commercial,3682,4,Suburban,Concrete,Pitched,0,1,4800,50000000
Residential,2783,14,Rural,Slab,Flat,0,1,8000,50000000
Commercial,892,3,Rural,Concrete,Pitched,0,0,10600,10524204
Industrial,650,8,Rural,Slab,Pitched,0,1,7800,15222140
Industrial,12858,13,Urban,Slab,Pitched,0,1,5900,50000000
Commercial,12056,13,Rural,Concrete,Pitched,0,1,3900,50000000
Industrial,8508,18,Rural,Slab,Flat,0,0,10500,50000000
Industrial,14744,16,Suburban,Pile,Flat,1,0,14000,50000000
Industrial,1363,6,Rural,Slab,Flat,1,0,10300,21163101
Commercial,2725,5,Urban,Concrete,Flat,0,0,5800,45195424
Industrial,11585,15,Suburban,Slab,Flat,0,1,9600,50000000
Industrial,9194,20,Rural,Slab,Flat,0,1,4400,50000000
Commercial,10607,1,Rural,Pile,Flat,0,1,7600,20603998
Residential,11027,13,Suburban,Pile,Pitched,0,0,5800,50000000
Industrial,9858,11,Rural,Pile,Pitched,0,0,8600,50000000
Industrial,384,8,Urban,Pile,Dome,1,1,4200,9477022
Industrial,12195,3,Urban,Pile,Flat,1,1,5200,50000000
Industrial,10714,18,Rural,Slab,Pitched,1,1,11600,50000000
Residential,11727,17,Urban,Concrete,Dome,1,1,9600,50000000
